Top10 ligands
File: Cc1cc(NC(=O)c2nc(-c3ccccc3)n(-c3cccc(C(F)(F)F)c3)n2)no1, Score: -10.4
File: O=C(NCCC(=O)N1CCCC(C(=O)Nc2ccccc2)C1)c1ccco1, Score: -9.6
File: COc1ccccc1NS(=O)(=O)c1cccc(C(=O)NNC(=O)c2cc(=O)c3ccccc3o2)c1, Score: -9.6
File: OCc1ccccc1NCc1cc(-c2ccccc2)ccc1O, Score: -9.5
File: O=C(COC(=O)Cc1coc2cc3c(cc12)CCC3)NC1CCS(=O)(=O)C1, Score: -9.5
File: S=c1oc(-c2cccc(Cl)c2)nn1CN1CCC(c2nnc3ccccn23)CC1, Score: -9.4
File: Cc1nn(CC(=O)Nc2cc(C3CCCC3)nn2-c2ccccc2)c(C)c1[N+](=O)[O-], Score: -9.4
File: CC(NC(=O)COC(=O)CCN1C(=O)NC2(CCCC2)C1=O)c1cccc2ccccc12, Score: -9.4
File: O=C(NCc1ccc(C(F)(F)F)cc1)c1c[nH]nc1-c1ccc2c(c1)OCCO2, Score: -9.4
File: O=C(NCCCn1ccc2ccccc21)c1ccc(N2CCCS2(=O)=O)cc1, Score: -9.3

Average score of top10 ligands: -9.55
