Top10 ligands
File: COc1cccc(-c2nnc(SCC(=O)N3CC(=O)Nc4ccccc43)n2-c2ccccc2)c1, Score: -10.6
File: Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N1CCN(C(=O)c2csc(-c3ccc(F)cc3)n2)CC1, Score: -10.3
File: O=C(CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O)NCC(F)(F)F, Score: -10.0
File: O=C(Nc1ccccc1-c1ccccc1)c1ccccc1NS(=O)(=O)c1ccc(F)cc1, Score: -9.3
File: Cc1nc2ncnn2c(C)c1CCC(=O)Nc1cccc(C(=O)Nc2cccc(C(F)(F)F)c2)c1, Score: -9.3
File: O=C(CCCN1C(=O)NC2(CCCC2)C1=O)NCC1CC2c3ccccc3C1c1ccccc12, Score: -9.3
File: Cc1ccc(NC(=O)c2c3c(nc4ccccc24)CCC3)c(C)c1, Score: -9.3
File: COc1cc(NC(=O)c2ccco2)c(C(=O)OCc2cc(=O)oc3c(C)c(C)ccc23)cc1OC, Score: -9.2
File: CC(=O)N1CCc2cc(C(=O)NCc3nc(C)c(-c4ccc(Cl)cc4)o3)ccc21, Score: -9.2
File: Cc1ccc2c(c1)CCCN2C(=O)c1cn(-c2ccccc2)nc1-c1ccc(C)o1, Score: -9.2

Average score of top10 ligands: -9.57
